Date,Open,High,Low,Close,Adj Close,Volume
2022-12-14,544.000000,547.000000,525.049988,529.200012,529.200012,7499632
2022-12-15,531.849976,536.900024,530.000000,531.700012,531.700012,3170404
2022-12-16,531.700012,534.049988,524.500000,528.000000,528.000000,2096590
2022-12-19,528.900024,532.349976,522.500000,523.500000,523.500000,1618011
2022-12-20,523.500000,529.400024,523.000000,526.750000,526.750000,1779152
2022-12-21,529.400024,532.799988,515.500000,517.099976,517.099976,1798202
2022-12-22,521.000000,522.400024,505.000000,506.549988,506.549988,1825136
2022-12-23,501.950012,504.000000,472.000000,476.100006,476.100006,3328475
2022-12-26,479.000000,510.000000,479.000000,504.350006,504.350006,3365041
2022-12-27,509.000000,517.799988,509.000000,512.849976,512.849976,1837698
2022-12-28,513.000000,541.700012,511.100006,535.549988,535.549988,6867457
2022-12-29,530.000000,534.000000,523.349976,527.200012,527.200012,1997736
2022-12-30,529.750000,541.000000,528.000000,531.000000,531.000000,1758215
2023-01-02,531.000000,536.849976,527.049988,532.099976,532.099976,1263767
2023-01-03,532.500000,536.349976,532.000000,535.450012,535.450012,1213174
2023-01-04,535.049988,544.950012,531.549988,540.299988,540.299988,3154582
2023-01-05,543.500000,544.200012,533.849976,541.500000,541.500000,1526010
2023-01-06,540.000000,563.650024,540.000000,551.349976,551.349976,6979771
2023-01-09,566.200012,574.500000,562.000000,563.900024,563.900024,5176059
2023-01-10,564.000000,581.700012,553.650024,575.549988,575.549988,4268046
2023-01-11,575.549988,583.750000,571.599976,579.150024,579.150024,3448969
2023-01-12,574.950012,578.650024,528.099976,543.200012,543.200012,35491005
2023-01-13,543.500000,564.900024,533.349976,560.099976,560.099976,9474010
2023-01-16,561.000000,565.799988,549.900024,553.549988,553.549988,2554765
2023-01-17,556.000000,556.700012,522.650024,526.099976,526.099976,5366596
2023-01-18,529.000000,535.900024,528.950012,531.700012,531.700012,2601169
2023-01-19,531.799988,535.099976,530.049988,531.950012,531.950012,1405912
2023-01-20,534.650024,555.000000,532.349976,550.849976,550.849976,5802036
2023-01-23,550.849976,567.650024,537.299988,544.049988,544.049988,4483048
2023-01-24,548.000000,556.200012,540.000000,543.549988,543.549988,3041229
2023-01-25,544.000000,546.849976,528.500000,532.950012,532.950012,2549852
2023-01-27,535.650024,540.849976,508.100006,513.400024,513.400024,2503278
2023-01-30,516.000000,537.000000,511.799988,534.099976,534.099976,2211058
2023-01-31,536.750000,537.950012,527.549988,530.900024,530.900024,1220594
2023-02-01,535.000000,543.700012,515.250000,523.849976,523.849976,2359385
2023-02-02,530.000000,548.000000,525.000000,545.650024,545.650024,4222114
2023-02-03,548.400024,548.400024,522.500000,524.950012,524.950012,3748704
2023-02-06,556.000000,565.950012,543.049988,558.299988,558.299988,9144444
2023-02-07,558.900024,669.950012,556.349976,588.599976,588.599976,21257464
2023-02-08,618.000000,698.000000,614.000000,675.950012,675.950012,36404222
2023-02-09,685.000000,738.700012,666.500000,705.950012,705.950012,45507244
2023-02-10,705.000000,705.000000,640.000000,650.549988,650.549988,47387857
2023-02-13,652.000000,678.700012,647.700012,654.000000,654.000000,9923535
2023-02-14,653.900024,654.700012,636.650024,642.700012,642.700012,4115771
2023-02-15,638.000000,650.000000,633.349976,640.049988,640.049988,2300566
2023-02-16,640.000000,650.000000,623.500000,628.900024,628.900024,3828506
2023-02-17,629.000000,639.900024,620.650024,626.849976,626.849976,2376643
2023-02-20,624.750000,633.599976,621.099976,630.500000,630.500000,2184210
2023-02-21,632.000000,636.700012,616.549988,623.049988,623.049988,2326949
2023-02-22,621.849976,628.000000,605.000000,608.349976,608.349976,2414579
2023-02-23,610.000000,622.000000,601.299988,606.549988,606.549988,2670860
2023-02-24,610.000000,638.349976,605.200012,623.500000,623.500000,7205948
2023-02-27,637.799988,656.299988,626.849976,635.099976,635.099976,10706527
2023-02-28,632.900024,632.950012,578.700012,597.250000,597.250000,10375035
2023-03-01,600.250000,615.599976,600.000000,608.250000,608.250000,3928587
2023-03-02,611.000000,613.700012,601.099976,604.400024,604.400024,1844739
2023-03-03,606.450012,634.000000,605.400024,627.900024,627.900024,4881471
2023-03-06,630.700012,635.500000,623.000000,625.650024,625.650024,3097926
2023-03-08,624.450012,625.000000,613.049988,620.099976,620.099976,1638938
2023-03-09,624.450012,625.549988,602.150024,606.049988,606.049988,1811358
2023-03-10,605.400024,605.400024,589.099976,593.049988,593.049988,2119734
2023-03-13,593.000000,612.799988,577.200012,580.750000,580.750000,6040808
2023-03-14,584.500000,597.500000,575.799988,579.500000,579.500000,4049607
2023-03-15,588.099976,594.000000,569.700012,572.849976,572.849976,2249901
2023-03-16,575.000000,578.000000,563.049988,571.650024,571.650024,2855637
2023-03-17,578.099976,585.549988,570.650024,578.349976,578.349976,4130620
2023-03-20,575.000000,576.849976,556.049988,559.200012,559.200012,2256904
2023-03-21,564.799988,586.250000,564.799988,583.900024,583.900024,4397948
2023-03-22,586.849976,629.400024,584.900024,624.049988,624.049988,12978431
2023-03-23,625.250000,638.799988,617.599976,623.049988,623.049988,10304564
2023-03-24,620.750000,628.500000,616.049988,619.450012,619.450012,4234985
2023-03-27,623.450012,638.000000,618.099976,621.400024,621.400024,4970293
2023-03-28,639.000000,639.000000,609.000000,617.349976,617.349976,6514543
2023-03-29,620.450012,636.000000,611.200012,629.349976,629.349976,4665727
2023-03-31,629.500000,655.900024,624.349976,636.799988,636.799988,8986663
2023-04-03,641.000000,642.799988,631.000000,639.000000,639.000000,2981378
2023-04-05,640.000000,648.000000,638.200012,641.099976,641.099976,2516676
2023-04-06,641.900024,656.000000,636.799988,645.799988,645.799988,4064562
2023-04-10,648.000000,663.700012,645.849976,656.500000,656.500000,4574660
2023-04-11,660.000000,667.000000,653.099976,657.700012,657.700012,2296973
2023-04-12,659.000000,661.599976,644.450012,648.000000,648.000000,1674467
2023-04-13,649.400024,654.000000,642.299988,650.900024,650.900024,1663301
2023-04-17,650.900024,650.900024,637.000000,645.250000,645.250000,1443570
2023-04-18,645.500000,653.700012,641.299988,645.000000,645.000000,931189
2023-04-19,645.000000,652.000000,640.500000,644.250000,644.250000,1113614
2023-04-20,651.900024,669.000000,650.049988,656.849976,656.849976,5832297
2023-04-21,656.849976,661.049988,646.849976,655.049988,655.049988,1989168
2023-04-24,658.000000,668.000000,658.000000,663.750000,663.750000,2613486
2023-04-25,663.000000,674.250000,642.000000,647.950012,647.950012,3436418
2023-04-26,650.000000,653.299988,644.000000,648.000000,648.000000,1061990
2023-04-27,650.000000,650.700012,641.000000,643.650024,643.650024,744624
2023-04-28,649.150024,655.799988,641.150024,653.599976,653.599976,2732585
